# COVID-19 新增确诊（其它国家或地区）
time,name,value
1582513136,砖石公主号,0 #2020-02-24 10:58:56
1582470331,砖石公主号,57 #2020-02-23 23:05:31
1582346054,砖石公主号,0 #2020-02-22 12:34:14
1582261252,砖石公主号,0 #2020-02-21 13:00:52
1582200129,砖石公主号,13 #2020-02-20 20:02:09
1582115103,砖石公主号,79 #2020-02-19 20:25:03
1582040458,砖石公主号,88 #2020-02-18 23:40:58
1581937196,砖石公主号,99 #2020-02-17 18:59:56
1581867017,砖石公主号,0 #2020-02-16 23:30:17
1582513136,砖石公主号,0 #2020-02-24 10:58:56
1582470331,砖石公主号,57 #2020-02-23 23:05:31
1582346054,砖石公主号,0 #2020-02-22 12:34:14
1582261252,砖石公主号,0 #2020-02-21 13:00:52
1582200129,砖石公主号,13 #2020-02-20 20:02:09
1582115103,砖石公主号,79 #2020-02-19 20:25:03
1582040458,砖石公主号,88 #2020-02-18 23:40:58
1581937196,砖石公主号,99 #2020-02-17 18:59:56
1581867017,砖石公主号,0 #2020-02-16 23:30:17
1582513136,台湾,0 #2020-02-24 10:58:56
1582456742,台湾,2 #2020-02-23 19:19:02
1582268039,台湾,2 #2020-02-21 14:53:59
1582164331,台湾,1 #2020-02-20 10:05:31
1582098549,台湾,1 #2020-02-19 15:49:09
1581954180,台湾,2 #2020-02-17 23:43:00
1581852095,台湾,2 #2020-02-16 19:21:35
1581645861,台湾,0 #2020-02-14 10:04:21
1581524352,台湾,0 #2020-02-13 00:19:12
1581239386,台湾,1 #2020-02-09 17:09:46
1581139297,台湾,1 #2020-02-08 13:21:37
1581001350,台湾,5 #2020-02-06 23:02:30
1580827843,台湾,1 #2020-02-04 22:50:43
1580475682,台湾,1 #2020-01-31 21:01:22
1580378428,台湾,1 #2020-01-30 18:00:28
1580216401,台湾,3 #2020-01-28 21:00:01
1580108290,台湾,1 #2020-01-27 14:58:10
1580042893,台湾,1 #2020-01-26 20:48:13
1579881920,台湾,2 #2020-01-25 00:05:20
1579809031,台湾,0 #2020-01-24 03:50:31
1579634890,台湾,0 #2020-01-22 03:28:10
1582513136,台湾,0 #2020-02-24 10:58:56
1582456742,台湾,2 #2020-02-23 19:19:02
1582268039,台湾,2 #2020-02-21 14:53:59
1582164331,台湾,1 #2020-02-20 10:05:31
1582098549,台湾,1 #2020-02-19 15:49:09
1581954180,台湾,2 #2020-02-17 23:43:00
1581852095,台湾,2 #2020-02-16 19:21:35
1581645861,台湾,0 #2020-02-14 10:04:21
1581524352,台湾,0 #2020-02-13 00:19:12
1581239386,台湾,1 #2020-02-09 17:09:46
1581139297,台湾,1 #2020-02-08 13:21:37
1581001350,台湾,5 #2020-02-06 23:02:30
1580827843,台湾,1 #2020-02-04 22:50:43
