# 2019-nCov 地区新增确诊
time,name,value
1581490693,北京,10 #2020-02-12 14:58:13
1581389724,北京,5 #2020-02-11 10:55:24
1581304334,北京,11 #2020-02-10 11:12:14
1581220033,北京,11 #2020-02-09 11:47:13
1581131088,北京,18 #2020-02-08 11:04:48
1581045628,北京,23 #2020-02-07 11:20:28
1580963857,北京,21 #2020-02-06 12:37:37
1580881352,北京,25 #2020-02-05 13:42:32
1580804907,北京,16 #2020-02-04 16:28:27
1580723047,北京,21 #2020-02-03 17:44:07
1580632391,北京,23 #2020-02-02 16:33:11
1580552955,北京,29 #2020-02-01 18:29:15
1580459766,北京,25 #2020-01-31 16:36:06
1580358469,北京,3 #2020-01-30 12:27:49
1580311803,北京,20 #2020-01-29 23:30:03
1580216523,北京,11 #2020-01-28 21:02:03
1580140646,北京,12 #2020-01-27 23:57:26
1580051133,北京,27 #2020-01-26 23:05:33
1579954516,北京,5 #2020-01-25 20:15:16
1579880103,北京,14 #2020-01-24 23:35:03
1579774513,北京,12 #2020-01-23 18:15:13
1581496315,上海,8 #2020-02-12 16:31:55
1581402068,上海,4 #2020-02-11 14:21:08
1581314449,上海,6 #2020-02-10 14:00:49
1581248399,上海,7 #2020-02-09 19:39:59
1581143309,上海,9 #2020-02-08 14:28:29
1581055777,上海,20 #2020-02-07 14:09:37
1580971573,上海,14 #2020-02-06 14:46:13
1580883559,上海,24 #2020-02-05 14:19:19
1580819140,上海,16 #2020-02-04 20:25:40
1580715693,上海,21 #2020-02-03 15:41:33
1580624383,上海,13 #2020-02-02 14:19:43
1580552955,上海,34 #2020-02-01 18:29:15
1580463388,上海,23 #2020-01-31 17:36:28
1580369232,上海,16 #2020-01-30 15:27:12
1580283376,上海,30 #2020-01-29 15:36:16
1580197409,上海,13 #2020-01-28 15:43:29
1580111800,上海,13 #2020-01-27 15:56:40
1580008921,上海,7 #2020-01-26 11:22:01
1579917045,上海,13 #2020-01-25 09:50:45
1579870100,上海,4 #2020-01-24 20:48:20
1579740940,上海,7 #2020-01-23 08:55:40
1581511285,湖北,1638 #2020-02-12 20:41:25
1581429320,湖北,2097 #2020-02-11 21:55:20
1581341402,湖北,2531 #2020-02-10 21:30:02
1581246573,湖北,2147 #2020-02-09 19:09:33
1581170570,湖北,2841 #2020-02-08 22:02:50
1581084110,湖北,2447 #2020-02-07 22:01:50
1580992111,湖北,2987 #2020-02-06 20:28:31
1580917949,湖北,3156 #2020-02-05 23:52:29
1580808885,湖北,2345 #2020-02-04 17:34:45
1580736750,湖北,2103 #2020-02-03 21:32:30
1580647805,湖北,1921 #2020-02-02 20:50:05
