# COVID-19 Daily Cases: China vs. World
time,name,value
1579622400,Mainland China Ex. Hubei,0 #2020-01-22
1579708800,Mainland China Ex. Hubei,80 #2020-01-23
1579795200,Mainland China Ex. Hubei,157 #2020-01-24
1579881600,Mainland China Ex. Hubei,292 #2020-01-25
1579968000,Mainland China Ex. Hubei,368 #2020-01-26
1580054400,Mainland China Ex. Hubei,412 #2020-01-27
1580140800,Mainland China Ex. Hubei,481 #2020-01-28
1580227200,Mainland China Ex. Hubei,623 #2020-01-29
1580313600,Mainland China Ex. Hubei,705 #2020-01-30
1580400000,Mainland China Ex. Hubei,758 #2020-01-31
1580486400,Mainland China Ex. Hubei,741 #2020-02-01
1580572800,Mainland China Ex. Hubei,666 #2020-02-02
1580659200,Mainland China Ex. Hubei,747 #2020-02-03
1580745600,Mainland China Ex. Hubei,840 #2020-02-04
1580832000,Mainland China Ex. Hubei,744 #2020-02-05
1580918400,Mainland China Ex. Hubei,714 #2020-02-06
1581004800,Mainland China Ex. Hubei,678 #2020-02-07
1581091200,Mainland China Ex. Hubei,567 #2020-02-08
1581177600,Mainland China Ex. Hubei,466 #2020-02-09
1581264000,Mainland China Ex. Hubei,433 #2020-02-10
1581350400,Mainland China Ex. Hubei,377 #2020-02-11
1581436800,Mainland China Ex. Hubei,379 #2020-02-12
1581523200,Mainland China Ex. Hubei,299 #2020-02-13
1581609600,Mainland China Ex. Hubei,260 #2020-02-14
1581696000,Mainland China Ex. Hubei,211 #2020-02-15
1581782400,Mainland China Ex. Hubei,171 #2020-02-16
1581868800,Mainland China Ex. Hubei,116 #2020-02-17
1581955200,Mainland China Ex. Hubei,82 #2020-02-18
1582041600,Mainland China Ex. Hubei,58 #2020-02-19
1582128000,Mainland China Ex. Hubei,47 #2020-02-20
1582214400,Mainland China Ex. Hubei,260 #2020-02-21
1582300800,Mainland China Ex. Hubei,33 #2020-02-22
1582387200,Mainland China Ex. Hubei,22 #2020-02-23
1582473600,Mainland China Ex. Hubei,18 #2020-02-24
1582560000,Mainland China Ex. Hubei,17 #2020-02-25
1582646400,Mainland China Ex. Hubei,9 #2020-02-26
1582732800,Mainland China Ex. Hubei,26 #2020-02-27
1579622400,World Ex. Mainland China,0 #2020-01-22
1579708800,World Ex. Mainland China,3 #2020-01-23
1579795200,World Ex. Mainland China,0 #2020-01-24
1579881600,World Ex. Mainland China,3 #2020-01-25
1579968000,World Ex. Mainland China,3 #2020-01-26
1580054400,World Ex. Mainland China,4 #2020-01-27
1580140800,World Ex. Mainland China,12 #2020-01-28
1580227200,World Ex. Mainland China,19 #2020-01-29
1580313600,World Ex. Mainland China,10 #2020-01-30
1580400000,World Ex. Mainland China,24 #2020-01-31
1580486400,World Ex. Mainland China,12 #2020-02-01
1580572800,World Ex. Mainland China,24 #2020-02-02
1580659200,World Ex. Mainland China,2 #2020-02-03
1580745600,World Ex. Mainland China,29 #2020-02-04
1580832000,World Ex. Mainland China,25 #2020-02-05
1580918400,World Ex. Mainland China,23 #2020-02-06
1581004800,World Ex. Mainland China,46 #2020-02-07
1581091200,World Ex. Mainland China,33 #2020-02-08
1581177600,World Ex. Mainland China,13 #2020-02-09
1581264000,World Ex. Mainland China,79 #2020-02-10
1581350400,World Ex. Mainland China,27 #2020-02-11
1581436800,World Ex. Mainland China,48 #2020-02-12
1581523200,World Ex. Mainland China,62 #2020-02-13
1581609600,World Ex. Mainland China,19 #2020-02-14
1581696000,World Ex. Mainland China,79 #2020-02-15
1581782400,World Ex. Mainland China,-258 #2020-02-16
1581868800,World Ex. Mainland China,107 #2020-02-17
1581955200,World Ex. Mainland China,100 #2020-02-18
1582041600,World Ex. Mainland China,117 #2020-02-19
1582128000,World Ex. Mainland China,66 #2020-02-20
1582214400,World Ex. Mainland China,140 #2020-02-21
1582300800,World Ex. Mainland China,301 #2020-02-22
1582387200,World Ex. Mainland China,355 #2020-02-23
1582473600,World Ex. Mainland China,394 #2020-02-24
1582560000,World Ex. Mainland China,283 #2020-02-25
1582646400,World Ex. Mainland China,498 #2020-02-26
1582732800,World Ex. Mainland China,473 #2020-02-27
