# COVID-19 主要增量指标（中国）
time,name,value
1579795200,每日病例,0 #2020-01-24 23:54:14
1579795200,每日治愈,0 #2020-01-24 23:54:14
1579795200,每日死亡,0 #2020-01-24 23:54:14
1579881600,每日病例,511 #2020-01-25 23:54:35
1579881600,每日治愈,3 #2020-01-25 23:54:35
1579881600,每日死亡,16 #2020-01-25 23:54:35
1579968000,每日病例,668 #2020-01-26 23:03:31
1579968000,每日治愈,10 #2020-01-26 23:03:31
1579968000,每日死亡,14 #2020-01-26 23:03:31
1580054400,每日病例,781 #2020-01-27 23:55:25
1580054400,每日治愈,7 #2020-01-27 23:55:25
1580054400,每日死亡,26 #2020-01-27 23:55:25
1580140800,每日病例,1773 #2020-01-28 21:02:03
1580140800,每日治愈,17 #2020-01-28 21:02:03
1580140800,每日死亡,24 #2020-01-28 21:02:03
1580227200,每日病例,1465 #2020-01-29 23:31:04
1580227200,每日治愈,46 #2020-01-29 23:31:04
1580227200,每日死亡,27 #2020-01-29 23:31:04
1580313600,每日病例,2054 #2020-01-30 23:08:59
1580313600,每日治愈,16 #2020-01-30 23:08:59
1580313600,每日死亡,38 #2020-01-30 23:08:59
1580400000,每日病例,1662 #2020-01-31 22:43:05
1580400000,每日治愈,79 #2020-01-31 22:43:05
1580400000,每日死亡,42 #2020-01-31 22:43:05
1580486400,每日病例,2090 #2020-02-01 23:46:53
1580486400,每日治愈,61 #2020-02-01 23:46:53
1580486400,每日死亡,46 #2020-02-01 23:46:53
1580572800,每日病例,2589 #2020-02-02 23:47:32
1580572800,每日治愈,159 #2020-02-02 23:47:32
1580572800,每日死亡,45 #2020-02-02 23:47:32
1580659200,每日病例,2851 #2020-02-03 22:56:58
1580659200,每日治愈,93 #2020-02-03 22:56:58
1580659200,每日死亡,57 #2020-02-03 22:56:58
1580745600,每日病例,3189 #2020-02-04 23:38:26
1580745600,每日治愈,191 #2020-02-04 23:38:26
1580745600,每日死亡,65 #2020-02-04 23:38:26
1580832000,每日病例,3904 #2020-02-05 23:52:29
1580832000,每日治愈,300 #2020-02-05 23:52:29
1580832000,每日死亡,67 #2020-02-05 23:52:29
1580918400,每日病例,3704 #2020-02-06 23:02:30
1580918400,每日治愈,355 #2020-02-06 23:02:30
1580918400,每日死亡,71 #2020-02-06 23:02:30
1581004800,每日病例,3126 #2020-02-07 23:23:55
1581004800,每日治愈,380 #2020-02-07 23:23:55
1581004800,每日死亡,73 #2020-02-07 23:23:55
1581091200,每日病例,3409 #2020-02-08 23:16:54
1581091200,每日治愈,622 #2020-02-08 23:16:54
1581091200,每日死亡,87 #2020-02-08 23:16:54
1581177600,每日病例,2616 #2020-02-09 23:00:53
1581177600,每日治愈,525 #2020-02-09 23:00:53
1581177600,每日死亡,89 #2020-02-09 23:00:53
1581264000,每日病例,2973 #2020-02-10 22:16:43
1581264000,每日治愈,651 #2020-02-10 22:16:43
1581264000,每日死亡,96 #2020-02-10 22:16:43
1581350400,每日病例,2485 #2020-02-11 23:28:23
1581350400,每日治愈,750 #2020-02-11 23:28:23
1581350400,每日死亡,108 #2020-02-11 23:28:23
1581436800,每日病例,2018 #2020-02-12 23:07:23
1581436800,每日治愈,765 #2020-02-12 23:07:23
1581436800,每日死亡,99 #2020-02-12 23:07:23
1581523200,每日病例,15142 #2020-02-13 23:51:34
1581523200,每日治愈,1149 #2020-02-13 23:51:34
1581523200,每日死亡,252 #2020-02-13 23:51:34
1581609600,每日病例,4043 #2020-02-14 23:18:15
1581609600,每日治愈,877 #2020-02-14 23:18:15
1581609600,每日死亡,14 #2020-02-14 23:18:15
1581696000,每日病例,2631 #2020-02-15 22:51:06
1581696000,每日治愈,1402 #2020-02-15 22:51:06
1581696000,每日死亡,142 #2020-02-15 22:51:06
1581782400,每日病例,2014 #2020-02-16 21:45:52
1581782400,每日治愈,1269 #2020-02-16 21:45:52
1581782400,每日死亡,143 #2020-02-16 21:45:52
1581868800,每日病例,2049 #2020-02-17 23:43:00
1581868800,每日治愈,1515 #2020-02-17 23:43:00
1581868800,每日死亡,105 #2020-02-17 23:43:00
1581955200,每日病例,1888 #2020-02-18 23:09:05
1581955200,每日治愈,1725 #2020-02-18 23:09:05
1581955200,每日死亡,100 #2020-02-18 23:09:05
1582041600,每日病例,1752 #2020-02-19 22:06:22
