# COVID-19 主要总量指标（中国）
time,name,value
1582556555,疑似,3434 #2020-02-24 23:02:35
1582556555,确诊,77269 #2020-02-24 23:02:35
1582556555,治愈,25007 #2020-02-24 23:02:35
1582556555,死亡,2596 #2020-02-24 23:02:35
1582556555,疑似+确诊,80703 #2020-02-24 23:02:35
1582468705,疑似,4148 #2020-02-23 22:38:25
1582468705,确诊,77048 #2020-02-23 22:38:25
1582468705,治愈,23183 #2020-02-23 22:38:25
1582468705,死亡,2445 #2020-02-23 22:38:25
1582468705,疑似+确诊,81196 #2020-02-23 22:38:25
1582380500,疑似,5365 #2020-02-22 22:08:20
1582380500,确诊,76396 #2020-02-22 22:08:20
1582380500,治愈,21075 #2020-02-22 22:08:20
1582380500,死亡,2348 #2020-02-22 22:08:20
1582380500,疑似+确诊,81761 #2020-02-22 22:08:20
1582297878,疑似,5206 #2020-02-21 23:11:18
1582297878,确诊,75571 #2020-02-21 23:11:18
1582297878,治愈,18687 #2020-02-21 23:11:18
1582297878,死亡,2239 #2020-02-21 23:11:18
1582297878,疑似+确诊,80777 #2020-02-21 23:11:18
1582209389,疑似,4922 #2020-02-20 22:36:29
1582209389,确诊,74680 #2020-02-20 22:36:29
1582209389,治愈,16721 #2020-02-20 22:36:29
1582209389,死亡,2122 #2020-02-20 22:36:29
1582209389,疑似+确诊,79602 #2020-02-20 22:36:29
1582121182,疑似,5248 #2020-02-19 22:06:22
1582121182,确诊,74284 #2020-02-19 22:06:22
1582121182,治愈,14938 #2020-02-19 22:06:22
1582121182,死亡,2009 #2020-02-19 22:06:22
1582121182,疑似+确诊,79532 #2020-02-19 22:06:22
1582038545,疑似,6242 #2020-02-18 23:09:05
1582038545,确诊,72532 #2020-02-18 23:09:05
1582038545,治愈,13003 #2020-02-18 23:09:05
1582038545,死亡,1872 #2020-02-18 23:09:05
1582038545,疑似+确诊,78774 #2020-02-18 23:09:05
1581954180,疑似,7264 #2020-02-17 23:43:00
1581954180,确诊,70644 #2020-02-17 23:43:00
1581954180,治愈,11278 #2020-02-17 23:43:00
1581954180,死亡,1772 #2020-02-17 23:43:00
1581954180,疑似+确诊,77908 #2020-02-17 23:43:00
1581860752,疑似,8228 #2020-02-16 21:45:52
1581860752,确诊,68595 #2020-02-16 21:45:52
1581860752,治愈,9763 #2020-02-16 21:45:52
1581860752,死亡,1667 #2020-02-16 21:45:52
1581860752,疑似+确诊,76823 #2020-02-16 21:45:52
1581778266,疑似,8969 #2020-02-15 22:51:06
1581778266,确诊,66581 #2020-02-15 22:51:06
1581778266,治愈,8494 #2020-02-15 22:51:06
1581778266,死亡,1524 #2020-02-15 22:51:06
1581778266,疑似+确诊,75550 #2020-02-15 22:51:06
1581693495,疑似,10109 #2020-02-14 23:18:15
1581693495,确诊,63950 #2020-02-14 23:18:15
1581693495,治愈,7092 #2020-02-14 23:18:15
1581693495,死亡,1382 #2020-02-14 23:18:15
1581693495,疑似+确诊,74059 #2020-02-14 23:18:15
1581609094,疑似,13435 #2020-02-13 23:51:34
1581609094,确诊,59907 #2020-02-13 23:51:34
1581609094,治愈,6215 #2020-02-13 23:51:34
1581609094,死亡,1368 #2020-02-13 23:51:34
1581609094,疑似+确诊,73342 #2020-02-13 23:51:34
1581520043,疑似,16067 #2020-02-12 23:07:23
1581520043,确诊,44765 #2020-02-12 23:07:23
1581520043,治愈,5066 #2020-02-12 23:07:23
1581520043,死亡,1116 #2020-02-12 23:07:23
1581520043,疑似+确诊,60832 #2020-02-12 23:07:23
1581434903,疑似,21675 #2020-02-11 23:28:23
1581434903,确诊,42747 #2020-02-11 23:28:23
1581434903,治愈,4301 #2020-02-11 23:28:23
1581434903,死亡,1017 #2020-02-11 23:28:23
1581434903,疑似+确诊,64422 #2020-02-11 23:28:23
1581344203,疑似,23589 #2020-02-10 22:16:43
1581344203,确诊,40262 #2020-02-10 22:16:43
1581344203,治愈,3551 #2020-02-10 22:16:43
1581344203,死亡,909 #2020-02-10 22:16:43
1581344203,疑似+确诊,63851 #2020-02-10 22:16:43
1581260453,疑似,28942 #2020-02-09 23:00:53
1581260453,确诊,37289 #2020-02-09 23:00:53
1581260453,治愈,2900 #2020-02-09 23:00:53
1581260453,死亡,813 #2020-02-09 23:00:53
1581260453,疑似+确诊,66231 #2020-02-09 23:00:53
1581175014,疑似,27657 #2020-02-08 23:16:54
1581175014,确诊,34673 #2020-02-08 23:16:54
1581175014,治愈,2375 #2020-02-08 23:16:54
1581175014,死亡,724 #2020-02-08 23:16:54
1581175014,疑似+确诊,62330 #2020-02-08 23:16:54
1581089035,疑似,26359 #2020-02-07 23:23:55
1581089035,确诊,31264 #2020-02-07 23:23:55
1581089035,治愈,1753 #2020-02-07 23:23:55
1581089035,死亡,637 #2020-02-07 23:23:55
1581089035,疑似+确诊,57623 #2020-02-07 23:23:55
1581001350,疑似,24702 #2020-02-06 23:02:30
1581001350,确诊,28138 #2020-02-06 23:02:30
1581001350,治愈,1373 #2020-02-06 23:02:30
1581001350,死亡,564 #2020-02-06 23:02:30
1581001350,疑似+确诊,52840 #2020-02-06 23:02:30
1580917949,疑似,23260 #2020-02-05 23:52:29
1580917949,确诊,24434 #2020-02-05 23:52:29
1580917949,治愈,1018 #2020-02-05 23:52:29
1580917949,死亡,493 #2020-02-05 23:52:29
1580917949,疑似+确诊,47694 #2020-02-05 23:52:29
1580830706,疑似,23214 #2020-02-04 23:38:26
1580830706,确诊,20530 #2020-02-04 23:38:26
1580830706,治愈,718 #2020-02-04 23:38:26
1580830706,死亡,426 #2020-02-04 23:38:26
1580830706,疑似+确诊,43744 #2020-02-04 23:38:26
1580741818,疑似,21558 #2020-02-03 22:56:58
1580741818,确诊,17341 #2020-02-03 22:56:58
1580741818,治愈,527 #2020-02-03 22:56:58
1580741818,死亡,361 #2020-02-03 22:56:58
1580741818,疑似+确诊,38899 #2020-02-03 22:56:58
1580658452,疑似,19544 #2020-02-02 23:47:32
1580658452,确诊,14490 #2020-02-02 23:47:32
1580658452,治愈,434 #2020-02-02 23:47:32
1580658452,死亡,304 #2020-02-02 23:47:32
1580658452,疑似+确诊,34034 #2020-02-02 23:47:32
1580572013,疑似,17988 #2020-02-01 23:46:53
1580572013,确诊,11901 #2020-02-01 23:46:53
1580572013,治愈,275 #2020-02-01 23:46:53
1580572013,死亡,259 #2020-02-01 23:46:53
1580572013,疑似+确诊,29889 #2020-02-01 23:46:53
1580481785,疑似,15238 #2020-01-31 22:43:05
1580481785,确诊,9811 #2020-01-31 22:43:05
1580481785,治愈,214 #2020-01-31 22:43:05
1580481785,死亡,213 #2020-01-31 22:43:05
1580481785,疑似+确诊,25049 #2020-01-31 22:43:05
1580396939,疑似,12167 #2020-01-30 23:08:59
1580396939,确诊,8149 #2020-01-30 23:08:59
1580396939,治愈,135 #2020-01-30 23:08:59
1580396939,死亡,171 #2020-01-30 23:08:59
1580396939,疑似+确诊,20316 #2020-01-30 23:08:59
1580311864,疑似,9239 #2020-01-29 23:31:04
1580311864,确诊,6095 #2020-01-29 23:31:04
1580311864,治愈,119 #2020-01-29 23:31:04
1580311864,死亡,133 #2020-01-29 23:31:04
1580311864,疑似+确诊,15334 #2020-01-29 23:31:04
1580216523,疑似,6973 #2020-01-28 21:02:03
1580216523,确诊,4630 #2020-01-28 21:02:03
1580216523,治愈,73 #2020-01-28 21:02:03
1580216523,死亡,106 #2020-01-28 21:02:03
1580216523,疑似+确诊,11603 #2020-01-28 21:02:03
1580140525,疑似,5794 #2020-01-27 23:55:25
1580140525,确诊,2857 #2020-01-27 23:55:25
1580140525,治愈,56 #2020-01-27 23:55:25
1580140525,死亡,82 #2020-01-27 23:55:25
1580140525,疑似+确诊,8651 #2020-01-27 23:55:25
1580051011,疑似,2692 #2020-01-26 23:03:31
1580051011,确诊,2076 #2020-01-26 23:03:31
1580051011,治愈,49 #2020-01-26 23:03:31
1580051011,死亡,56 #2020-01-26 23:03:31
1580051011,疑似+确诊,4768 #2020-01-26 23:03:31
1579967675,疑似,2032 #2020-01-25 23:54:35
1579967675,确诊,1408 #2020-01-25 23:54:35
1579967675,治愈,39 #2020-01-25 23:54:35
1579967675,死亡,42 #2020-01-25 23:54:35
1579967675,疑似+确诊,3440 #2020-01-25 23:54:35
1579881254,疑似,1076 #2020-01-24 23:54:14
1579881254,确诊,897 #2020-01-24 23:54:14
1579881254,治愈,36 #2020-01-24 23:54:14
1579881254,死亡,26 #2020-01-24 23:54:14
1579881254,疑似+确诊,1973 #2020-01-24 23:54:14
