# COVID-19 主要增量指标（中国）
time,name,value
1582516655,新增确诊,214 #2020-02-24 11:57:35
1582516655,新增治愈,1575 #2020-02-24 11:57:35
1582516655,新增死亡,150 #2020-02-24 11:57:35
1582468705,新增确诊,652 #2020-02-23 22:38:25
1582468705,新增治愈,2108 #2020-02-23 22:38:25
1582468705,新增死亡,97 #2020-02-23 22:38:25
1582380500,新增确诊,825 #2020-02-22 22:08:20
1582380500,新增治愈,2388 #2020-02-22 22:08:20
1582380500,新增死亡,109 #2020-02-22 22:08:20
1582297878,新增确诊,891 #2020-02-21 23:11:18
1582297878,新增治愈,1966 #2020-02-21 23:11:18
1582297878,新增死亡,117 #2020-02-21 23:11:18
1582209389,新增确诊,396 #2020-02-20 22:36:29
1582209389,新增治愈,1783 #2020-02-20 22:36:29
1582209389,新增死亡,113 #2020-02-20 22:36:29
1582121182,新增确诊,1752 #2020-02-19 22:06:22
1582121182,新增治愈,1935 #2020-02-19 22:06:22
1582121182,新增死亡,137 #2020-02-19 22:06:22
1582038545,新增确诊,1888 #2020-02-18 23:09:05
1582038545,新增治愈,1725 #2020-02-18 23:09:05
1582038545,新增死亡,100 #2020-02-18 23:09:05
1581954180,新增确诊,2049 #2020-02-17 23:43:00
1581954180,新增治愈,1515 #2020-02-17 23:43:00
1581954180,新增死亡,105 #2020-02-17 23:43:00
1581860752,新增确诊,2014 #2020-02-16 21:45:52
1581860752,新增治愈,1269 #2020-02-16 21:45:52
1581860752,新增死亡,143 #2020-02-16 21:45:52
1581778266,新增确诊,2631 #2020-02-15 22:51:06
1581778266,新增治愈,1402 #2020-02-15 22:51:06
1581778266,新增死亡,142 #2020-02-15 22:51:06
1581693495,新增确诊,4043 #2020-02-14 23:18:15
1581693495,新增治愈,877 #2020-02-14 23:18:15
1581693495,新增死亡,14 #2020-02-14 23:18:15
1581609094,新增确诊,15142 #2020-02-13 23:51:34
1581609094,新增治愈,1149 #2020-02-13 23:51:34
1581609094,新增死亡,252 #2020-02-13 23:51:34
1581520043,新增确诊,2018 #2020-02-12 23:07:23
1581520043,新增治愈,765 #2020-02-12 23:07:23
1581520043,新增死亡,99 #2020-02-12 23:07:23
1581434903,新增确诊,2485 #2020-02-11 23:28:23
1581434903,新增治愈,750 #2020-02-11 23:28:23
1581434903,新增死亡,108 #2020-02-11 23:28:23
1581344203,新增确诊,2973 #2020-02-10 22:16:43
1581344203,新增治愈,651 #2020-02-10 22:16:43
1581344203,新增死亡,96 #2020-02-10 22:16:43
1581260453,新增确诊,2616 #2020-02-09 23:00:53
1581260453,新增治愈,525 #2020-02-09 23:00:53
1581260453,新增死亡,89 #2020-02-09 23:00:53
1581175014,新增确诊,3409 #2020-02-08 23:16:54
1581175014,新增治愈,622 #2020-02-08 23:16:54
1581175014,新增死亡,87 #2020-02-08 23:16:54
1581089035,新增确诊,3126 #2020-02-07 23:23:55
1581089035,新增治愈,380 #2020-02-07 23:23:55
1581089035,新增死亡,73 #2020-02-07 23:23:55
1581001350,新增确诊,3704 #2020-02-06 23:02:30
1581001350,新增治愈,355 #2020-02-06 23:02:30
1581001350,新增死亡,71 #2020-02-06 23:02:30
1580917949,新增确诊,3904 #2020-02-05 23:52:29
1580917949,新增治愈,300 #2020-02-05 23:52:29
1580917949,新增死亡,67 #2020-02-05 23:52:29
1580830706,新增确诊,3189 #2020-02-04 23:38:26
1580830706,新增治愈,191 #2020-02-04 23:38:26
1580830706,新增死亡,65 #2020-02-04 23:38:26
1580741818,新增确诊,2851 #2020-02-03 22:56:58
1580741818,新增治愈,93 #2020-02-03 22:56:58
1580741818,新增死亡,57 #2020-02-03 22:56:58
1580658452,新增确诊,2589 #2020-02-02 23:47:32
1580658452,新增治愈,159 #2020-02-02 23:47:32
1580658452,新增死亡,45 #2020-02-02 23:47:32
1580572013,新增确诊,2090 #2020-02-01 23:46:53
1580572013,新增治愈,61 #2020-02-01 23:46:53
1580572013,新增死亡,46 #2020-02-01 23:46:53
1580481785,新增确诊,1662 #2020-01-31 22:43:05
1580481785,新增治愈,79 #2020-01-31 22:43:05
1580481785,新增死亡,42 #2020-01-31 22:43:05
1580396939,新增确诊,2054 #2020-01-30 23:08:59
1580396939,新增治愈,16 #2020-01-30 23:08:59
1580396939,新增死亡,38 #2020-01-30 23:08:59
1580311864,新增确诊,1465 #2020-01-29 23:31:04
1580311864,新增治愈,46 #2020-01-29 23:31:04
1580311864,新增死亡,27 #2020-01-29 23:31:04
1580216523,新增确诊,1773 #2020-01-28 21:02:03
1580216523,新增治愈,17 #2020-01-28 21:02:03
1580216523,新增死亡,24 #2020-01-28 21:02:03
1580140525,新增确诊,781 #2020-01-27 23:55:25
1580140525,新增治愈,7 #2020-01-27 23:55:25
1580140525,新增死亡,26 #2020-01-27 23:55:25
1580051011,新增确诊,668 #2020-01-26 23:03:31
1580051011,新增治愈,10 #2020-01-26 23:03:31
1580051011,新增死亡,14 #2020-01-26 23:03:31
1579967675,新增确诊,511 #2020-01-25 23:54:35
1579967675,新增治愈,3 #2020-01-25 23:54:35
1579967675,新增死亡,16 #2020-01-25 23:54:35
1579881254,新增确诊,0 #2020-01-24 23:54:14
1579881254,新增治愈,0 #2020-01-24 23:54:14
1579881254,新增死亡,0 #2020-01-24 23:54:14
