# COVID-19 Total Cases: Outside Mainland China
time,name,value
1581782400,Diamond Princess Cruise Ship,355 #2020-02-16 23:30:17
1581868800,Diamond Princess Cruise Ship,454 #2020-02-17 18:59:56
1581955200,Diamond Princess Cruise Ship,542 #2020-02-18 23:40:58
1582041600,Diamond Princess Cruise Ship,621 #2020-02-19 20:25:03
1582128000,Diamond Princess Cruise Ship,634 #2020-02-20 20:02:09
1582214400,Diamond Princess Cruise Ship,634 #2020-02-21 13:00:52
1582300800,Diamond Princess Cruise Ship,634 #2020-02-22 12:34:14
1582387200,Diamond Princess Cruise Ship,691 #2020-02-23 23:05:31
1582473600,Diamond Princess Cruise Ship,691 #2020-02-24 12:40:19
1582560000,Diamond Princess Cruise Ship,691 #2020-02-25 07:20:00
1582646400,Diamond Princess Cruise Ship,705 #2020-02-26 20:21:36
1582732800,Diamond Princess Cruise Ship,705 #2020-02-27 08:03:17
1579622400,Hongkong,0 #2020-01-22 03:28:10
1579708800,Hongkong,2 #2020-01-23 23:07:26
1579795200,Hongkong,2 #2020-01-24 03:50:31
1579881600,Hongkong,5 #2020-01-25 09:54:48
1580054400,Hongkong,8 #2020-01-27 00:11:16
1580227200,Hongkong,10 #2020-01-29 19:12:06
1580400000,Hongkong,12 #2020-01-31 08:06:24
1580486400,Hongkong,13 #2020-02-01 12:56:28
1580572800,Hongkong,14 #2020-02-02 09:01:55
1580659200,Hongkong,15 #2020-02-03 09:28:34
1580745600,Hongkong,17 #2020-02-04 17:03:22
1580832000,Hongkong,21 #2020-02-05 21:08:40
1580918400,Hongkong,24 #2020-02-06 22:41:13
1581004800,Hongkong,25 #2020-02-07 19:50:03
1581091200,Hongkong,26 #2020-02-08 07:59:16
1581177600,Hongkong,29 #2020-02-09 17:43:16
1581264000,Hongkong,38 #2020-02-10 18:07:52
1581350400,Hongkong,49 #2020-02-11 17:39:05
1581436800,Hongkong,50 #2020-02-12 17:50:05
1581523200,Hongkong,53 #2020-02-13 22:51:36
1581609600,Hongkong,56 #2020-02-14 16:59:25
1581782400,Hongkong,57 #2020-02-16 17:49:32
1581868800,Hongkong,58 #2020-02-17 19:28:38
1581955200,Hongkong,62 #2020-02-18 21:40:41
1582041600,Hongkong,63 #2020-02-19 20:08:30
1582128000,Hongkong,67 #2020-02-20 17:44:30
1582214400,Hongkong,68 #2020-02-21 11:34:47
1582300800,Hongkong,69 #2020-02-22 21:21:28
1582387200,Hongkong,74 #2020-02-23 19:19:02
1582473600,Hongkong,79 #2020-02-24 19:16:31
1582560000,Hongkong,84 #2020-02-25 17:38:54
1582646400,Hongkong,89 #2020-02-26 20:40:35
1582732800,Hongkong,91 #2020-02-27 07:39:04
1580054400,Japan,4 #2020-01-27 17:20:43
1580140800,Japan,7 #2020-01-28 20:00:24
1580313600,Japan,11 #2020-01-30 09:19:17
1580400000,Japan,15 #2020-01-31 18:23:19
1580486400,Japan,20 #2020-02-01 20:47:45
1580832000,Japan,35 #2020-02-05 23:56:31
1580918400,Japan,45 #2020-02-06 11:58:08
1581004800,Japan,86 #2020-02-07 11:01:13
1581091200,Japan,89 #2020-02-08 14:44:42
1581264000,Japan,156 #2020-02-10 20:28:04
1581350400,Japan,161 #2020-02-11 19:21:09
1581436800,Japan,203 #2020-02-12 22:23:41
1581523200,Japan,247 #2020-02-13 20:19:04
1581609600,Japan,253 #2020-02-14 19:06:32
1581696000,Japan,326 #2020-02-15 18:39:41
1581782400,Japan,62 #2020-02-16 23:30:17
1581868800,Japan,62 #2020-02-17 17:05:12
1581955200,Japan,74 #2020-02-18 23:40:58
1582041600,Japan,84 #2020-02-19 22:12:33
1582128000,Japan,84 #2020-02-20 12:28:07
1582214400,Japan,105 #2020-02-21 21:33:40
1582300800,Japan,122 #2020-02-22 22:43:42
1582387200,Japan,135 #2020-02-23 18:22:45
1582473600,Japan,159 #2020-02-24 22:15:30
1582560000,Japan,170 #2020-02-25 22:44:06
1582646400,Japan,178 #2020-02-26 18:58:23
1582732800,Japan,189 #2020-02-27 10:40:25
1580054400,Korea,4 #2020-01-27 17:20:43
1580400000,Korea,11 #2020-01-31 14:08:51
1580486400,Korea,12 #2020-02-01 18:35:35
1580572800,Korea,15 #2020-02-02 10:20:59
1580745600,Korea,16 #2020-02-04 23:30:41
1580832000,Korea,19 #2020-02-05 23:24:10
1580918400,Korea,23 #2020-02-06 10:44:12
1581004800,Korea,24 #2020-02-07 11:02:13
1581177600,Korea,25 #2020-02-09 10:33:09
1581264000,Korea,27 #2020-02-10 20:28:04
1581350400,Korea,28 #2020-02-11 19:21:09
1581436800,Korea,28 #2020-02-12 22:23:41
1581523200,Korea,28 #2020-02-13 19:24:24
1581609600,Korea,28 #2020-02-14 19:06:32
1581696000,Korea,28 #2020-02-15 11:23:34
1581782400,Korea,29 #2020-02-16 23:30:17
1581868800,Korea,30 #2020-02-17 18:59:56
1581955200,Korea,30 #2020-02-18 23:40:58
1582041600,Korea,51 #2020-02-19 22:12:33
1582128000,Korea,104 #2020-02-20 18:01:05
1582214400,Korea,204 #2020-02-21 21:33:40
1582300800,Korea,433 #2020-02-22 19:10:24
1582387200,Korea,602 #2020-02-23 21:37:53
1582473600,Korea,833 #2020-02-24 19:09:13
1582560000,Korea,977 #2020-02-25 20:40:20
1582646400,Korea,1261 #2020-02-26 18:57:20
1582732800,Korea,1595 #2020-02-27 10:40:25
1580054400,Singapore,4 #2020-01-27 17:20:43
1580140800,Singapore,5 #2020-01-28 06:36:26
1580227200,Singapore,10 #2020-01-29 19:55:25
1580400000,Singapore,13 #2020-01-31 14:04:25
1580486400,Singapore,16 #2020-02-01 11:21:19
1580572800,Singapore,18 #2020-02-02 12:57:14
1580745600,Singapore,24 #2020-02-04 23:30:41
1580918400,Singapore,28 #2020-02-06 00:28:53
1581004800,Singapore,30 #2020-02-07 11:01:13
1581091200,Singapore,33 #2020-02-08 20:44:39
1581177600,Singapore,40 #2020-02-09 10:36:12
1581264000,Singapore,43 #2020-02-10 20:28:04
1581350400,Singapore,45 #2020-02-11 19:21:09
1581436800,Singapore,47 #2020-02-12 22:23:41
1581523200,Singapore,58 #2020-02-13 19:56:59
1581609600,Singapore,67 #2020-02-14 20:41:45
1581696000,Singapore,72 #2020-02-15 21:49:01
1581782400,Singapore,72 #2020-02-16 23:30:17
1581868800,Singapore,77 #2020-02-17 22:13:45
1581955200,Singapore,77 #2020-02-18 12:47:02
1582041600,Singapore,84 #2020-02-19 20:58:08
1582128000,Singapore,84 #2020-02-20 12:28:07
1582214400,Singapore,85 #2020-02-21 18:02:54
1582300800,Singapore,85 #2020-02-22 12:34:14
1582387200,Singapore,89 #2020-02-23 23:05:31
1582473600,Singapore,89 #2020-02-24 12:40:19
1582560000,Singapore,90 #2020-02-25 12:08:21
1582646400,Singapore,93 #2020-02-26 22:19:37
