# COVID-19 累计确诊（除湖北外的部分省）
time,name,value
1579622400,北京,10 #2020-01-22 03:28:10
1579708800,北京,22 #2020-01-23 18:15:13
1579795200,北京,36 #2020-01-24 23:35:03
1579881600,北京,41 #2020-01-25 20:15:16
1579968000,北京,68 #2020-01-26 23:05:33
1580054400,北京,80 #2020-01-27 23:57:26
1580140800,北京,91 #2020-01-28 21:02:03
1580227200,北京,111 #2020-01-29 23:30:03
1580313600,北京,114 #2020-01-30 12:27:49
1580400000,北京,139 #2020-01-31 16:36:06
1580486400,北京,168 #2020-02-01 17:22:04
1580572800,北京,191 #2020-02-02 16:33:11
1580659200,北京,212 #2020-02-03 17:44:07
1580745600,北京,228 #2020-02-04 16:28:27
1580832000,北京,253 #2020-02-05 13:42:32
1580918400,北京,274 #2020-02-06 12:37:37
1581004800,北京,297 #2020-02-07 11:20:28
1581091200,北京,315 #2020-02-08 11:04:48
1581177600,北京,326 #2020-02-09 11:47:13
1581264000,北京,337 #2020-02-10 11:12:14
1581350400,北京,342 #2020-02-11 10:55:24
1581436800,北京,352 #2020-02-12 10:35:49
1581523200,北京,366 #2020-02-13 22:12:44
1581609600,北京,372 #2020-02-14 14:31:20
1581696000,北京,375 #2020-02-15 17:45:14
1581782400,北京,380 #2020-02-16 17:56:43
1581868800,北京,381 #2020-02-17 09:21:09
1581955200,北京,387 #2020-02-18 10:07:48
1582041600,北京,393 #2020-02-19 12:24:10
1582128000,北京,395 #2020-02-20 09:38:40
1582214400,北京,396 #2020-02-21 09:00:25
1582300800,北京,399 #2020-02-22 10:20:17
1582387200,北京,399 #2020-02-23 19:19:02
1582473600,北京,399 #2020-02-24 08:50:13
1582560000,北京,400 #2020-02-25 09:29:56
1582646400,北京,400 #2020-02-26 08:48:57
1582732800,北京,410 #2020-02-27 10:21:27
1582819200,北京,410 #2020-02-28 10:21:26
1582905600,北京,411 #2020-02-29 13:08:48
1582992000,北京,413 #2020-03-01 11:01:02
1583078400,北京,414 #2020-03-02 16:51:02
1583164800,北京,414 #2020-03-03 09:58:02
1583251200,北京,417 #2020-03-04 11:18:02
1583337600,北京,418 #2020-03-05 07:14:02
1583424000,北京,422 #2020-03-06 20:50:02
1583510400,北京,426 #2020-03-07 08:59:01
1583596800,北京,428 #2020-03-08 09:18:02
1583683200,北京,428 #2020-03-09 12:09:24
1579622400,上海,9 #2020-01-22 10:39:34
1579708800,上海,16 #2020-01-23 08:55:40
1579795200,上海,20 #2020-01-24 20:48:20
1579881600,上海,33 #2020-01-25 09:50:45
1579968000,上海,40 #2020-01-26 11:22:01
1580054400,上海,53 #2020-01-27 15:56:40
1580140800,上海,66 #2020-01-28 15:43:29
1580227200,上海,96 #2020-01-29 15:36:16
1580313600,上海,112 #2020-01-30 15:27:12
1580400000,上海,135 #2020-01-31 17:36:28
1580486400,上海,169 #2020-02-01 16:09:04
1580572800,上海,182 #2020-02-02 14:19:43
1580659200,上海,203 #2020-02-03 15:41:33
1580745600,上海,219 #2020-02-04 20:25:40
1580832000,上海,243 #2020-02-05 14:19:19
1580918400,上海,257 #2020-02-06 14:46:13
1581004800,上海,277 #2020-02-07 14:09:37
1581091200,上海,286 #2020-02-08 14:28:29
1581177600,上海,293 #2020-02-09 19:39:59
1581264000,上海,299 #2020-02-10 14:00:49
1581350400,上海,303 #2020-02-11 14:21:08
1581436800,上海,311 #2020-02-12 16:31:55
1581523200,上海,315 #2020-02-13 20:39:00
1581609600,上海,318 #2020-02-14 12:06:13
1581696000,上海,326 #2020-02-15 23:54:32
1581782400,上海,328 #2020-02-16 11:31:02
1581868800,上海,332 #2020-02-17 14:32:33
