# COVID-19 主要总量指标（中国）
time,name,value
1579795200,疑似,1076 #2020-01-24 23:54:14
1579795200,确诊,897 #2020-01-24 23:54:14
1579795200,治愈,36 #2020-01-24 23:54:14
1579795200,死亡,26 #2020-01-24 23:54:14
1579881600,疑似,2032 #2020-01-25 23:54:35
1579881600,确诊,1408 #2020-01-25 23:54:35
1579881600,治愈,39 #2020-01-25 23:54:35
1579881600,死亡,42 #2020-01-25 23:54:35
1579968000,疑似,2692 #2020-01-26 23:03:31
1579968000,确诊,2076 #2020-01-26 23:03:31
1579968000,治愈,49 #2020-01-26 23:03:31
1579968000,死亡,56 #2020-01-26 23:03:31
1580054400,疑似,5794 #2020-01-27 23:55:25
1580054400,确诊,2857 #2020-01-27 23:55:25
1580054400,治愈,56 #2020-01-27 23:55:25
1580054400,死亡,82 #2020-01-27 23:55:25
1580140800,疑似,6973 #2020-01-28 21:02:03
1580140800,确诊,4630 #2020-01-28 21:02:03
1580140800,治愈,73 #2020-01-28 21:02:03
1580140800,死亡,106 #2020-01-28 21:02:03
1580227200,疑似,9239 #2020-01-29 23:31:04
1580227200,确诊,6095 #2020-01-29 23:31:04
1580227200,治愈,119 #2020-01-29 23:31:04
1580227200,死亡,133 #2020-01-29 23:31:04
1580313600,疑似,12167 #2020-01-30 23:08:59
1580313600,确诊,8149 #2020-01-30 23:08:59
1580313600,治愈,135 #2020-01-30 23:08:59
1580313600,死亡,171 #2020-01-30 23:08:59
1580400000,疑似,15238 #2020-01-31 22:43:05
1580400000,确诊,9811 #2020-01-31 22:43:05
1580400000,治愈,214 #2020-01-31 22:43:05
1580400000,死亡,213 #2020-01-31 22:43:05
1580486400,疑似,17988 #2020-02-01 23:46:53
1580486400,确诊,11901 #2020-02-01 23:46:53
1580486400,治愈,275 #2020-02-01 23:46:53
1580486400,死亡,259 #2020-02-01 23:46:53
1580572800,疑似,19544 #2020-02-02 23:47:32
1580572800,确诊,14490 #2020-02-02 23:47:32
1580572800,治愈,434 #2020-02-02 23:47:32
1580572800,死亡,304 #2020-02-02 23:47:32
1580659200,疑似,21558 #2020-02-03 22:56:58
1580659200,确诊,17341 #2020-02-03 22:56:58
1580659200,治愈,527 #2020-02-03 22:56:58
1580659200,死亡,361 #2020-02-03 22:56:58
1580745600,疑似,23214 #2020-02-04 23:38:26
1580745600,确诊,20530 #2020-02-04 23:38:26
1580745600,治愈,718 #2020-02-04 23:38:26
1580745600,死亡,426 #2020-02-04 23:38:26
1580832000,疑似,23260 #2020-02-05 23:52:29
1580832000,确诊,24434 #2020-02-05 23:52:29
1580832000,治愈,1018 #2020-02-05 23:52:29
1580832000,死亡,493 #2020-02-05 23:52:29
1580918400,疑似,24702 #2020-02-06 23:02:30
1580918400,确诊,28138 #2020-02-06 23:02:30
1580918400,治愈,1373 #2020-02-06 23:02:30
1580918400,死亡,564 #2020-02-06 23:02:30
1581004800,疑似,26359 #2020-02-07 23:23:55
1581004800,确诊,31264 #2020-02-07 23:23:55
1581004800,治愈,1753 #2020-02-07 23:23:55
1581004800,死亡,637 #2020-02-07 23:23:55
1581091200,疑似,27657 #2020-02-08 23:16:54
1581091200,确诊,34673 #2020-02-08 23:16:54
1581091200,治愈,2375 #2020-02-08 23:16:54
1581091200,死亡,724 #2020-02-08 23:16:54
1581177600,疑似,28942 #2020-02-09 23:00:53
1581177600,确诊,37289 #2020-02-09 23:00:53
1581177600,治愈,2900 #2020-02-09 23:00:53
1581177600,死亡,813 #2020-02-09 23:00:53
1581264000,疑似,23589 #2020-02-10 22:16:43
1581264000,确诊,40262 #2020-02-10 22:16:43
1581264000,治愈,3551 #2020-02-10 22:16:43
1581264000,死亡,909 #2020-02-10 22:16:43
1581350400,疑似,21675 #2020-02-11 23:28:23
1581350400,确诊,42747 #2020-02-11 23:28:23
1581350400,治愈,4301 #2020-02-11 23:28:23
1581350400,死亡,1017 #2020-02-11 23:28:23
1581436800,疑似,16067 #2020-02-12 23:07:23
1581436800,确诊,44765 #2020-02-12 23:07:23
1581436800,治愈,5066 #2020-02-12 23:07:23
